"所属行业","问题名称","参考答案","参考资料"
"医疗","某医院对于某药品医保报销适应症有额外解读，拒绝给某类二线用药患者报销，是否合理？","核心结论
医院无权对国家医保药品目录进行额外解读或制定比国家规定更严格的报销标准。其职责是严格执行国家和地方医保部门制定的《药品目录》及相关政策 [1]。
1. 医院在医保报销中的权限与职责
- 执行而非制定：国家医疗保障行政部门负责制定和调整全国范围内的医保用药范围、支付标准和条件 [1]。医院作为定点医药机构，其职责是执行和监督《药品目录》及相关政策的实施，不得自行调整目录内药品的品种、备注、甲乙分类等内容 [3]。
- 用药目录的自主权：医院在执行医保药品目录时拥有一定的自主裁量权，主要体现在根据临床需求调整本机构的用药目录（即药品配备目录） [4], [5]。
- 不得无故限制用药：国家及地方政策明确规定，医院不得以医保总额限制、医疗机构用药目录数量或“药占比”等为由，影响符合条件的药品的配备和使用 [4], [5]。以上海市为例，还建立了新增药品的绿色通道和预算单列政策，以保障临床需求 [5]。
2. “二线用药”的官方报销规定
- 定义：在国家或地方医保药品目录中，“备注”一栏明确标注为“二线用药”的药品，才被定义为二线用药 [2], [6]。
- 报销条件：对于被正式标注为“二线用药”的药品，医保支付时必须有使用一线药品无效或不能耐受的证据 [2], [6]。
- 案例分析：以“法瑞西单抗注射液”为例，在《上海市基本医疗保险、工伤保险和生育保险药品目录（2024年版）》中，其报销限制包括适应症、处方医院和医师资格、患者视力要求等，但并未标注为“二线用药” [7]。因此，如果医院以“二线用药”为由拒绝为符合其他报销条件的法瑞西单抗使用者报销，则属于额外增加限制条件，不符合规定。
3. 总结与建议
- 医院拒绝为某个药品报销，需要判断其理由是否符合国家或地方医保目录中的明确规定。
- 如果该药品在目录中被明确标注为“二线用药”，患者需要提供使用一线药物无效或不耐受的证据，否则医院依据规定拒付是合规的。
- 如果该药品在目录中没有“二线用药”的限制，而医院自行增加此条件并拒绝报销，则该行为不符合国家医保政策规定。
4. 患者维权途径
关于患者遇到此类问题时具体的申诉或维权流程，您提供的参考资料中未包含相关信息。","基本医疗保险用…… 233.59KB
国家基本医疗保……… 1.39MB
上海市基本医疗……… 1.73MB"
"医疗","浙江省关于国谈药品双通道的文件有哪些，请将这些文件找出来并介绍这些政策内容都有什么？","根据浙江省医疗保障局和浙江省卫生健康委员会联合发布的文件，浙江省为落实国家医保谈判药品（简称“国谈药品”）的供应，建立了“双通道”管理机制，旨在提高药品的可及性，满足参保患者的合理用药需求 [1]。
该文件的主要内容包括：
- “双通道”管理定义
  - “双通道”是指通过定点医疗机构和定点零售药店两个渠道，满足国谈药品的供应保障和临床使用需求，并同步纳入医保支付的机制 [1]。
  - 所有国谈药品均被纳入浙江省的“双通道”管理，并在两个渠道施行统一的医保支付政策 [1]。
- 夯实医疗机构主体责任
  - 医疗机构是国谈药品临床合理使用的第一责任人，需按需及时配备和合理使用国谈药品，做到“应配尽配” [1]。
  - 文件对不同等级的公立医疗机构设定了最低配备率要求 [1]：
    - 三级甲等综合性医疗机构：不低于30%
    - 三级乙等综合性医疗机构和三级中医医院：不低于20%
    - 三级专科医疗机构：不低于相应专科国谈药品品种的60%
- 遴选定点零售药店
  - 医保经办部门负责遴选资质合规、管理规范、信誉良好、布局合理且满足电子追溯等条件的定点零售药店，纳入“双通道”管理 [1]。
  - 目标是在2021年11月底前，确保每个县（市、区）至少有1家“双通道”药店 [1]。
  - 纳入管理的定点零售药店，其国谈药品配备率要求不低于30% [1]。
- 完善配套政策
  - 医保支付：国谈药品在门诊使用时，原则上不纳入医疗机构的总额预算范围；住院使用时，药品费用可折算成DRG点数支付或根据实际情况合理调整病组点数 [1]。
  - 医院考核：卫生健康部门将合理使用国谈药品的费用单列，不纳入医疗机构的药占比、次均费用等考核指标范围 [1]。
- 强化监督管理
  - 医保经办部门将完善协议管理，对不按规定配备国谈药品的定点医药机构进行约谈、限期整改甚至解除协议，并与DRG点数付费、年度考核等挂钩 [1].
  - 加强智能监控，严厉打击套取、骗取医保基金的行为 [1]。
- 加强宣传培训
  - 要求各级部门加强政策解读，回应社会关切，并定期对定点医药机构和医务人员进行政策和业务培训 [1]。","浙江省医疗保障…… 185.43KB"
"医疗","对于同一个患者的用药，惠蒙保和鹿城保能同时报销吗？","据提供的参考资料，对于同一个患者的用药，惠蒙保和鹿城保可以同时报销，但遵循补充报销原则，不能重复报销。
具体来说，报销遵循以下原则：
- 补充报销，非重复报销：两种保险可以同时报销，但总报销金额不能超过患者实际花费的医疗费用 [1], [2]。这意味着，如果一笔医疗费用已经由其中一种保险报销，那么另一份保险只能对剩余未报销的部分进行报销，已经报销过的单据不能重复使用 [1], [3]。
- 报销顺序：患者可以先使用其中一种保险（如惠蒙保）进行报销，对于报销后剩余的自付部分，再向另一种保险（如鹿城保）申请报销 [1], [2]。
- 药品保障范围：
  - 鹿城保：其保障范围明确包含“特定药品保障”，涵盖35种国内特定高额药品、30种海南药和2种CAR-T疗法费用 [4]。
  - 惠蒙保：作为“惠民保”类产品，其设计会根据国家药品目录来更新赔付范围，以满足患者的用药需求 [5]。
总结来说，如果患者使用的药品同时在惠蒙保和鹿城保的保障范围内，可以先用其中一个报销，剩余部分再用另一个进行补充报销，但合计报销金额不会超过实际药品花费。","国家医保局人力…… 221.29KB
http://finance.topoint.com....
惠民保和商业医疗保险能同时报销吗?惠民保一年能报销几次?-支点网………
https://licai.cofool.com/ask/qa...
惠民保和百万医疗一样吗,可以同时买吗-同城保险………
https://licai.cofool.com/ask/vip...
全国普惠保和微保百万医疗保险可以同时-资深顾问陈坤-叩富网………"
"医疗","一位湖北省襄阳市的患者，已被当地“惠享保”计划认定为患有恶性肿瘤的“既往症”人群。医生为其处方了一种在“惠享保”25种特药目录内的药品，该药品在基本医保报销后的年度自付费用为20万元人民币。请根据“惠享保”的规则，计算该患者当年可从“惠享保”获得多少报销金额，及其最终的自付费用是多少？请列出详细的计算步骤。","根据“惠享保”的规则，该患者当年可获得的报销金额为 55,500元，最终的个人自付费用为 144,500元。
以下是详细的计算步骤：
- 第一步：确定可报销费用
“惠享保”针对特定高额药品费用的年度免赔额为1.5万元 [1], [2]。因此，需要先从患者的年度自付费用中减去这部分免赔额。
  - 可报销费用 = 年度自付费用 - 免赔额
  - 200,000元 - 15,000元 = 185,000元
- 第二步：计算报销金额
对于恶性肿瘤的“既往症”人群，特定高额药品的报销比例为30% [3], [2]。
  - 报销金额 = 可报销费用 × 报销比例
  - 185,000元 × 30% = 55,500元
- 第三步：计算最终自付费用
患者最终需要自己承担的费用为总自付费用减去“惠享保”的报销金额。
  - 最终自付费用 = 年度自付费用 - 报销金额
  - 200,000元 - 55,500元 = 144,500元","襄阳惠襄保产品… 391.96KB"
"医疗","假设有两位同样参加了湖北省基本医保的患者，他们都需要使用一种特药，在基本医保报销后的年度自付费用均为15万元。
患者A：在武汉市，投保了“武汉惠民保”（又名“福汉康”），且不属于既往症人群。
患者B：在荆门市，投保了“惠荆保”，且属于既往症人群。请分别计算两位患者从各自的“惠民保”计划中获得的报销金额和最终的自付费用。","患者A（武汉市，“武汉惠民保”，非既往症）
报销政策：对于非既往症人群，特定高额药品费用的起付线为0元，报销比例为70%，年度最高支付限额为100万元 [2]。
报销金额计算：
可报销费用 = 年度自付费用 - 起付线 = 150,000元 - 0元 = 150,000元 [2]。
报销金额 = 可报销费用 × 报销比例 = 150,000元 × 70% = 105,000元 [2]。
该金额未超过100万元的封顶线 [2]。
最终自付费用计算：
最终自付费用 = 年度自付费用 - 报销金额 = 150,000元 - 105,000元 = 45,000元。
结论：患者A可以从“武汉惠民保”获得105,000元报销，最终个人自付45,000元 [2]。

患者B（荆门市，“惠荆保”，既往症）
报销政策：对于既往症人群，特定药品门诊费用的起付线为2万元，报销比例为30%，年度保额为60万元 [1]。
报销金额计算：
可报销费用 = 年度自付费用 - 起付线 = 150,000元 - 20,000元 = 130,000元 [1]。
报销金额 = 可报销费用 × 报销比例 = 130,000元 × 30% = 39,000元 [1]。
该金额未超过60万元的封顶线 [1]。
最终自付费用计算：
最终自付费用 = 年度自付费用 - 报销金额 = 150,000元 - 39,000元 = 111,000元。
结论：患者B可以从“惠荆保”获得39,000元报销，最终个人自付111,000元 [1]。
问题拆解
- 荆门惠荆保对既往症人群的特药报销政策，包括起付线、报销比例和封顶线
  - 荆门惠荆保对既往症人群的特药报销政策为：起付线2万元，报销比例30%，封顶线60万元。
- 武汉惠民保（福汉康）对非既往症人群的特药报销政策，包括起付线、报销比例和封顶线
  - 武汉惠民保（福汉康）对非既往症人群的特药报销政策为：起付线0元，报销比例70%，特定高额药品费用封顶线100万元，罕见病药品费用封顶线10万元。","武汉惠民保“福… 48.33KB
荆门惠民保“惠……… 32.67KB"
"医疗","请比较并对比北京市与上海市，在新药获得“DRG/DIP除外支付”或“单列预算”资格方面的具体标准和申请流程差异","北京市
- 政策机制与标准：
  - 北京市实施的是“CHS-DRG付费新药新技术除外支付机制” [1]。
  - 对于符合条件的创新药和新技术，其相关费用不计入DRG病组的支付标准，而是由医保基金进行单独支付 [1]。
- 申请与审核流程：
  - 申请获得除外支付资格需要经过一个明确的审核流程 [1]。
  - 该流程由市医保局主导，具体包括三个步骤：形式审查、数据验证及专家论证 [1]。
上海市
- 政策机制与标准：
  - 上海市实施的是“谈判竞价药品单列预算”政策 [2]。
  - 该政策主要针对新增的谈判竞价药品 [2]。
  - 具体标准为：新增的谈判竞价药品在进入目录后的前三年不纳入定点医疗机构的医保总额预算。从第四年起，其费用将按规定纳入总额预算的测算基数范围 [2]。
- 申请与审核流程：
  - 参考资料中未明确提及新药获得“单列预算”资格需要经过特定的申请流程 [2]。
  - 政策似乎是自动适用于所有“新增谈判竞价药品”，重点在于后续的执行环节，例如：
    - 绿色挂网通道：药采所为谈判药品开通直接挂网的绿色通道 [3]。
    - 医院配备要求：要求定点医疗机构在目录发布后1个月内召开药事会议，将新增药品“应配尽配”，并为临床急需但暂时无法采购的药品建立临时采购绿色通道 [3]。","北京市医疗保障…… 6.80MB
关于印发《上海… 652.90KB"
"芯片","ATE中scan功能是什么","根据提供的参考资料，在自动测试设备（ATE）中，scan（扫描）功能是一套用于测试数字电路的技术，其核心是通过专用的扫描链（scan chains）来隔离电路模块，并注入测试信号以及观察电路响应 [1], [2]。
scan功能的主要方面包括：
- 核心目的
  - scan电路采用“分而治之”的策略来测试数字电路模块，通过将待测模块与周围电路隔离，从而实现对复杂数字电路的高效测试 [1]。
- 扫描链（Scan Chain）工作原理
  - 扫描链是由一系列触发器（flip-flops）组成的结构，它既可以作为串行输入、并行输出（SIPO）的移位寄存器，也可以作为并行输入、串行输出（PISO）的移位寄存器 [1]。
  - 激励注入：SIPO功能允许测试激励向量通过一个专用的串行输入引脚，被串行地移入到待测设备（DUT）中，然后并行地施加到内部电路上 [1]。
  - 响应捕获：PISO功能则用于捕获待测电路的输出响应，并将其串行地移出 [1]。
- Scan的主要类型
  - 边界扫描（Boundary Scan, IEEE Std. 1149.1）：该标准由联合测试行动组（JTAG）制定，主要用于板级的芯片间互连测试，但也可以扩展用于测试芯片内部电路。一个典型的JTAG扫描接口只需要四到五个信号（如TCK, TMS, TDI, TDO）连接到ATE测试机 [2]。
  - 全扫描（Full Scan）：在这种设计中，电路中每一个时钟控制的元件（如触发器或锁存器）都被设计成可扫描的。这使得测试向量可以施加到所有的组合逻辑块，并通过一个简单的串行接口捕获响应。全扫描通常会增加约10-15%的电路面积 [4]。
  - 部分扫描（Partial Scan）：为了减少全扫描带来的面积开销，部分扫描方法在非扫描设计的基础上增加扫描单元，直到达到期望的故障覆盖率 [4]。
- 主要优势
  - 自动化测试生成：可扫描的设计可以通过设计综合工具自动生成，并且相应的软件可以自动生成高故障覆盖率的测试向量 [4]。
  - 系统级诊断：像IEEE 1149.1这样的标准允许在不同芯片和电路之间进行一致性的测试，从而实现系统级的诊断 [1], [2]。
  - 高效率：扫描技术与ATE集成，可以高效地执行测试并缩短测试时间 [5], [6]。","An Introduction to Mixed-Signal IC Test and Measurement 11.92MB"
"芯片","FPVI10板卡内部电路有什么模块？基本工作原理是什么","FPVI10板卡内部电路模块
根据原理框图，FPVI10板卡（单通道）主要包含以下模块：
- FPGA (Field-Programmable Gate Array)：作为核心控制和处理单元。
- AWG (Arbitrary Waveform Generator)：4K x 16bit，用于产生任意波形。
- Control Unit (控制单元)：负责板卡的控制逻辑。
- Synchronization (同步)：用于与其他模块或系统同步。
- DSP Core (Digital Signal Processor Core)：4K x 16bit，用于数字信号处理。
- DACs (Digital-to-Analog Converters)：16bit，将数字信号转换为模拟信号。
- Current Limit (电流限制)：保护电路，限制输出电流。
- Force/Clamp (驱动/钳位电路)：用于施加电压/电流或设置钳位。
- Power AMP (功率放大器)：带有散热片，放大信号。
- Kelvin & Pingpong Switches (开尔文和乒乓开关)：用于精确测量和多工位测试切换。
- Voltage Digitizers (电压数字化器)：将模拟电压信号转换为数字信号。
FPVI10板卡基本工作原理
FPVI10板卡的基本工作原理是基于FPGA的系统结构，其信号流和主要功能如下：
- 信号流：信号从FPGA开始，经过数字模拟转换器（DACs）转换为模拟信号。这些模拟信号随后可能经过钳位电路（Force/Clamp）和电压数字化器（Voltage Digitizers），最终通过开尔文（Kelvin）和乒乓（Pingpong）开关输出或进行测量。
- 功能特性：
  - 双通道独立浮动：单板具有两个通道，每个通道都可以独立浮动。
  - 四象限输出：能够输出正负电压和正负电流。
  - Kelvin连接：采用四线Kelvin连接方式，FORCE_H 和 FORCE_L 线路驱动电流，SENSE_H 和 SENSE_L 线路采集电压，以实现精确测量。GUARD线用于在纳安级小电流测试时防止漏电。
  - 多量程电压电流测量：支持多个电压和电流量程的精确测量。
  - 硬件数据处理：每通道具备独立的硬件数据处理功能，包括计算最大值、最小值、平均值及跳变值。
  - 限流保护：每通道具备独立的限流保护功能。
  - 脉冲工作模式：在大电流脉冲工作模式下，依靠板上电容储能，并通过400mA的恒流源进行充电。输出占空比需要合理控制以确保电容储能恢复。","ACCOTEST 硬件单…… 958.20KB
AccoTEST 硬件单…… 756.16KB
STS8200 硬件手……… 3.69MB"
"金融","2023年波音各个商用机型的交付情况如何","根据参考资料，波音公司在2023年各商用机型的交付情况如下：
- 总交付量：2023年共交付了528架商用飞机 [1]。
- 各机型交付量细分：
  - 737系列：交付了396架，是交付量最高的机型 [1]。
  - 787系列：交付了73架 [1]。
  - 767系列：交付了32架 [1]。
  - 777系列：交付了26架 [1]。
  - 747系列：交付了1架 [1]。","波音2023年报.pdf 1.22MB"
"金融","波音公司在2020年到2023年各个机型的交付情况如何","商用飞机 (Commercial Airplanes)
下表总结了2020年至2023年波音主要商用机型的交付数量 [10, 8, 3]。
(此处应有表格，但原文未提供具体表格内容)
下图展示了2020年至2023年波音主要商用飞机的交付量变化趋势。
(此处应有图表，但原文未提供具体图表内容)
国防、太空与安全部门 (Defense, Space & Security)
2023年
- F/A-18 型号: 22架
- F-15 型号: 9架
- T-7A 红鹰: 3架
- CH-47 支奴干 (新造): 11架
- CH-47 支奴干 (翻新): 9架
- AH-64 阿帕奇 (新造): 20架
- AH-64 阿帕奇 (再制造): 57架
- MH-139 灰狼: 2架
- KC-46 加油机: 13架
- P-8 型号: 11架
- 商用卫星: 5个
- 军用卫星: 未具体说明
- 总计: 162架/个
2022年
- F/A-18 型号: 14架
- F-15 型号: 12架
- CH-47 支奴干 (新造): 19架
- CH-47 支奴干 (翻新): 9架
- AH-64 阿帕奇 (新造): 25架
- AH-64 阿帕奇 (再制造): 50架
- MH-139 灰狼: 4架
- KC-46 加油机: 15架
- P-8 型号: 12架
- 商用卫星: 4个
- 军用卫星: 1个
- 总计: 165架/个
2021年
- F/A-18 型号: 21架
- F-15 型号: 16架
- CH-47 支奴干 (新造): 15架
- CH-47 支奴干 (翻新): 5架
- AH-64 阿帕奇 (新造): 27架
- AH-64 阿帕奇 (再制造): 56架
- KC-46 加油机: 13架
- P-8 型号: 16架
- 总计: 169架
2020年
- F/A-18 型号: 20架
- F-15 型号: 4架
- CH-47 支奴干 (新造): 27架
- CH-47 支奴干 (翻新): 3架
- AH-64 阿帕奇 (新造): 19架
- AH-64 阿帕奇 (再制造): 52架
- KC-46A 加油机: 14架
- P-8 型号: 15架
- 商用及民用卫星: 2个
- 军用卫星: 2个
- 总计: 154架","波音2019年报.pdf 1022.58KB
波音2020年报.pdf 1.14MB
波音2021年报.pdf 1.10MB
波音2022年报.pdf 1.02MB
波音2023年报.pdf 1.22MB"
