排名,Query编号,Query标题,总分,A.决策颠覆性,B.分析复杂性,C.行动导向性,D.风险收益规模,E.时效敏感性,F.专业壁垒,G.可验证性,Query内容
1,3,医保政策与费用测算,4.8,4,5,5,4,5,5,5,我院一名诊断为'复发难治性弥漫大B细胞淋巴瘤'的患者，计划使用'瑞基奥仑赛注射液'。请确认：1) 该药品是否在本月更新的国家医保目录中？ 2) 本省（浙江省）的'双通道'和'门诊特殊病种'政策是否覆盖？ 3) 根据患者情况，估算医保报销后患者自付费用和医院的大致垫付成本。请务必提供所有政策依据的最新官方链接。
4,40,半导体设备断供紧急预案评估,4.75,5,5,5,5,5,5,4,我司的一条12nm晶圆产线高度依赖美国'应用材料公司'的'刻蚀机台A'。请立即评估：1) 该设备当前是否受到最新出口管制条例的限制？2) 若突然断供，国产设备'中微公司'的某型号能否作为替代？请详细对比两者在关键工艺指标（如CD均匀性、缺陷率）上的差异，并估算替换后所需的工艺验证周期和潜在良率损失。你的答案将决定我们是否启动紧急采购预案。
3,34,战略供应商多维风险紧急评估,4.75,5,5,5,5,5,5,4,我司是C919项目的二级供应商。请立即评估我们的美国一级供应商'ABC公司'其财务状况（Z-score模型）、近期是否有被私募基金收购的动向，以及其生产的主要零部件是否被列入最新版的《美国出口管制条例》'商业控制清单'（CCL）。综合判断其未来5年作为我司战略供应商的持续供应风险等级（高/中/低），并列出三条风险缓解策略。
2,8,罕见病诊疗与前沿药物准入咨询,4.75,4,4,5,5,5,5,5,我院一名患者疑似患有'诺莫综合征（Nummular Syndrome）'。请执行以下操作：1) 提供该病症的最新国际诊疗指南摘要（优先推荐NCCN或ESMO指南）；2) 检索并列出近三年针对该适应症处于临床III期及以上的新药试验（包括生物制剂），并注明申办方；3) 判断这些新药是否已通过我国海南博鳌乐城的'特许药械政策'引入。请确保所有信息来源为最新且权威。
7,9,重大医疗设备投资可行性分析,4.7,5,4,5,5,4,5,5,假设我院计划引进一台'质子重离子治疗系统'。请完成一份初步可行性分析，包括：1) 国内已运营该设备的医院名单及其年治疗例数；2) 该技术相较于常规放疗在特定癌种（如前列腺癌、儿童肿瘤）上的五年生存率差异数据；3) 估算设备采购、场馆建设及维护的初始投入成本范围；4) 分析其是否纳入我省医保的按病种付费（DIP）目录及支付标准。
6,12,跨国贸易与关税合规筹划,4.7,4,5,5,4,4,5,5,我司计划向在墨西哥设厂的北美客户出口产品。请评估此举涉及的美国《通胀削减法案》（IRA）和《USMCA》（美墨加协定）中关于'原产地规则'的具体条款，分析我司产品是否符合享受关税优惠的条件。如不完全符合，请提出三条可行的解决方案思路。
5,2,财务欺诈风险建模,4.7,4,5,5,5,3,4,5,根据该公司过去三年财务报表和主要供应商清单，构建一个简单的财务欺诈风险模型，分析其应收账款周转天数的变化与主要供应商关联方关系的潜在风险，并列出需要进一步核实的问题清单。
11,44,跨国数据合规尽调（极限时效）,4.65,4,4,5,5,4,5,5,客户是一家正在开拓巴西市场的消费电子公司。请在2小时内，为我起草一份关于'巴西数据合规准入'的尽调清单和风险提示报告，需涵盖：1) 该国《通用数据保护法》（LGPD）的核心要求及与GDPR的异同；2) 数据本地化存储的要求；3) 违规可能面临的最高罚款金额和执法案例；4) 推荐3家可提供合规服务的当地律所及其擅长领域。
12,43,绿色能源跨国投资财务建模,4.65,5,5,5,5,4,5,4,我司计划在北美投资一个'绿色制氢'项目。请建立财务模型评估其可行性，核心输入包括：1) 当地当前和预期的光伏电价；2) 不同技术路径（ALK vs PEM）的电解槽投资成本、效率和寿命；3) 将氢气液化或通过管道运输至港口的成本；4) 运往欧洲和日韩的运输成本及其'碳关税'（CBAM）政策的影响。请计算该项目的盈亏平衡点及敏感性分析。
10,41,新能源汽车技术路线TCO决策模型,4.65,5,5,5,5,4,5,4,我司正在决策下一代旗舰车型的'800V高压平台'核心功率器件是采用'硅基IGBT'还是'碳化硅MOSFET'。请基于当前两种材料的成本曲线、全球主要供应商的产能布局、以及未来三年预计的整车能耗要求，建立一个简单的总拥有成本（TCO）模型，并明确给出在何种续航和价格区间下，碳化硅方案更具经济性。我需要数据支撑我的技术路线选择。
